Validator,PT_VERSION,2.9.1
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1200
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_float_NN,nn_768_512_768_ld_768_768_768,Gemm_Hipblaslt_58759,0.110767
GemmTunableOp_float_NN,nn_2048_256_768_ld_2048_768_2048,Gemm_Hipblaslt_58759,0.119202
GemmTunableOp_float_NN,nn_2048_256_1024_ld_2048_1024_2048,Gemm_Rocblas_58760,0.168441
GemmTunableOp_Half_NN,nn_2048_64_768_ld_2048_768_2048,Gemm_Hipblaslt_49391,0.016486
GemmTunableOp_Half_NN,nn_128_4_1280_ld_128_1280_128,Gemm_Hipblaslt_49700,0.016359
GemmTunableOp_Half_NN,nn_2048_64_1024_ld_2048_1024_2048,Gemm_Hipblaslt_49438,0.0184098
GemmTunableOp_Half_NN,nn_4096_64_768_ld_4096_768_4096,Gemm_Hipblaslt_49286,0.0205755
GemmTunableOp_Half_NN,nn_2048_512_768_ld_2048_768_2048,Gemm_Hipblaslt_49349,0.0338988
GemmTunableOp_Half_NN,nn_2048_51_768_ld_2048_768_2048,Gemm_Hipblaslt_49157,0.0168452
GemmTunableOp_Half_NN,nn_256_308_2048_ld_256_2048_256,Gemm_Rocblas_49069,0.0222202
GemmTunableOp_Half_NN,nn_128_4_128_ld_128_128_128,Gemm_Rocblas_49122,0.0109721
GemmTunableOp_Half_NN,nn_128_4_19712_ld_128_19712_128,Gemm_Rocblas_49782,0.0990074
GemmAndBiasTunableOp_float_TN,tn_1280_2_128_ld_128_128_1280,Gemm_Hipblaslt_58756,0.0137449
GemmAndBiasTunableOp_float_TN,tn_128_2_128_ld_128_128_128,Gemm_Hipblaslt_58756,0.0131061
GemmAndBiasTunableOp_float_TN,tn_128_2_5120_ld_5120_5120_128,Gemm_Hipblaslt_58756,0.109843
GemmAndBiasTunableOp_float_TN,tn_19712_2_128_ld_128_128_19712,Gemm_Hipblaslt_58754,0.0401916
GemmAndBiasTunableOp_float_TN,tn_2048_256_5120_ld_5120_5120_2048,Gemm_Hipblaslt_58755,2.69951
GemmAndBiasTunableOp_float_TN,tn_2048_256_4096_ld_4096_4096_2048,Gemm_Hipblaslt_58757,2.31064
GemmAndBiasTunableOp_float_TN,tn_768_126976_768_ld_768_768_768,Gemm_Hipblaslt_58755,58.6107
GemmAndBiasTunableOp_float_TN,tn_768_256_2048_ld_2048_2048_768,Gemm_Hipblaslt_58755,0.37378
GemmAndBiasTunableOp_float_TN,tn_2048_232_4096_ld_4096_4096_2048,Default,2.18026
GemmAndBiasTunableOp_float_TN,tn_3072_126976_768_ld_768_768_3072,Gemm_Hipblaslt_58755,232.814
GemmAndBiasTunableOp_float_TN,tn_768_126976_3072_ld_3072_3072_768,Gemm_Hipblaslt_58755,242.869
GemmAndBiasTunableOp_float_TN,tn_1024_220_2048_ld_2048_2048_1024,Gemm_Hipblaslt_58755,0.461301
GemmAndBiasTunableOp_float_TN,tn_2048_220_5120_ld_5120_5120_2048,Gemm_Hipblaslt_58755,2.33807
GemmAndBiasTunableOp_float_TN,tn_768_232_2048_ld_2048_2048_768,Gemm_Hipblaslt_58755,0.363788
GemmAndBiasTunableOp_float_TN,tn_2048_154_256_ld_256_256_2048,Gemm_Hipblaslt_58755,0.0909537
GemmAndBiasTunableOp_float_TN,tn_2048_162_5120_ld_5120_5120_2048,Gemm_Hipblaslt_58755,1.96067
GemmAndBiasTunableOp_float_TN,tn_1024_256_2048_ld_2048_2048_1024,Gemm_Hipblaslt_58755,0.543839
GemmAndBiasTunableOp_float_TN,tn_1024_162_2048_ld_2048_2048_1024,Gemm_Hipblaslt_58755,0.364874
